3000/002,KEDAI ALAT TELEKOMUNIKASI DAMAI,07-2388821,016-7513432,07-2388821,,"NO.17,JALAN SRI BAHAGIA 10,","TAMAN SRI BAHAGIA,","81200 JOHOR BAHRU,JOHOR."
3000/003,19 NINETEEN HANDPHONE,,,,,"NO.63,JALAN SRI ORKID17,","TAMAN SRI ORKID,","81300 SKUDAI,JOHOR"
3000/004,SUN TECH COMMUNICATION ENTERPRISE,,07-8613387,,"9,JALAN JOHAR 3,","TAMAN DESA CEMERLANG,","81800 ULU TIRAM,",JOHOR.
3000/005,NETWORK TELESHOP(1),,012-7766898,,,"S50,PUTRI MART,JALAN BELADAU 17",TAMAN PUTRI WANGSA,"81800 ULU TIRAM,JOHOR."
3000/006,SIMMATRONICS TELESHOP KIP MART,,,07-5581825,,"LOT S92,F93,KIP MART TAMPOI,","TAMAN TAMPOI INDAH,","81200 JOHOR BAHRU,JOHOR."
3000/007,GALAXY COMMUNICATION ENTERPRISE,,,,,"NO.24,JALAN BUKIT KEMPAS 1/18,","TAMAN BUKIT KEMPAS,","81200 JOHOR BAHRU,JOHOR."
3000/008,L.A TELESHOP,,,07-3333598,,"LOT 1.10,LEVEL 1,","148 JALAN SERAMPANG,TAMAN PELANGI",80400 JOHOR BAHRU.
3000/010,G&P TELESHOP,07-2220098,,,,"LEVEL 2-13A,LEVEL 2,DANGA CITY MALL,","JALAN TUN ABDUL RAZAK,","80000 JOHOR BAHRU,JOHOR."
3000/011,MAXI TECH COMPUTER SDN BHD,,016-7012626,07-3535336,,"59,JALAN BAKAWALI 50,","TAMAN JOHOR JAYA,","81110 JOHOR BAHRU,JOHOR."
3000/012,FR TELESHOP,,017-7868986,,,"GF,07,BLOK D,JALAN SRI STULANG 1,","TAMAN SRI STULANG,",JOHOR BAHRU.
3000/013,SMART NET DISTRIBUTION,,016-7932999,,,"HP1,GROUND FLR,BESTARI MART,","JALAN DANGA,TAMAN NUSA BESTARI 2,","81300 SKUDAI,JOHOR."
3000/014,LIBRA TELECOMMUNICATION,012-7617969,017-7780339,,"NO.78,JALAN PADI 2,","BANDAR BARU UDA,","81200 JOHOR BAHRU,",JOHOR.
3000/015,TOP MOBILE SPECIALIST CENTRE,,012-7450000,07-5576208,,"01-22 TKT 1 SKUDAI PARADE,","JALAN SKUDAI BT.10,","81300 JOHOR BAHRU,JOHOR."
3000/016,RACING VOGUE TELESHOP,,019-7040467,,,"1,JLN DANAU 1,",TAMAN DESA JAYA,81100 JOHOR BAHRU.
3000/017,Y&L TELEKOMUNIKASI,,,07-2321443,,"NO,24 JALAN PERSISIRAN PERLING,","TAMAN PERLING,81200","JOHOR BAHRU,JOHOR."
3000/018,PH MOBILE,,016-6905920,,,GIANT HYPERMARKET-TAMPOI,"LOT 54,JALAN SKUDAI BT 51/2","81300 SKUDAI,JOHOR."
3000/019,DS MOBILE ENTERPRISE,,,07-2368881,,"60,JALAN SETIA TROPIKA 1/24","TAMAN SETIA TROPIKA,","81200 JOHOR BAHRU,JOHOR."
3000/020,CS LINK TELECOMUNICATION 1,,012-7013181,07-2521229,,"NO.3,JALAN BACANG 36,","TAMAN KOTA MASAI,","81700 PASIR GUDANG,JOHOR."
3000/021,EXPRESS CENTERC TRADING,,,07-2711779,,"96,JALAN PENGKALAN 5,","TAMAN PASIR EMAS,","81700 PASIR GUDANG,JOHOR."
3000/022,SENG HAU MOBILE&ENTERPRISE,07-8631131,016-7101131,,,"17,JALAN KENANGA 3,","TAMAN DESA CEMERLANG,","81800 ULU TIRAM,JB."
3000/023,WONG TRADING,,019-7668899,,,"NO.11,JALAN KENANGA 3,","TAMAN DESA CEMERLANG,","81800 ULU TIRAM,JOHOR D.T."
3000/024,FAR EAST MOBILE STUDIO,,,,"NO.63,JALAN BETIK 1,","TAMAN KOTA MASAI,",81700 MASAI,"PASIR GUDANG,JOHOR."
3000/025,JSL TELESHOP,,017-7723723,,"41A, JALAN BESAR,","81750 MASAI,",JOHOR.,
3000/026,KENZO,,,,"NO.13,JALAN BESAR,","81750 MASAI,",JOHOR.,
3000/027,CL MOBILE HOME,,016-7866671,,"63B,JALAN RAMBUTAN,","TAMAN TIRAM BARU,","81800 ULU TIRAM,",JOHOR.
3000/028,JK MOBILE SHOP,,,,GIANT PLENTONG IMM MEGASTORE,"LOT D3,D4, JALAN MASAI LAMA PELANTONG,","81750 MASAI,",JOHOR.
3000/029,MY FRIEND TELESHOP,,012-7684769,,"LOT4426,JALAN UMGKU MOHSIN,",80350 JOHOR BAHRU.,,
3000/030,STAR LIGHT TELECOMMUNICATION,,019-7612663,,"NO 25-45 JALAN TEMBIKAI 2,","TAMAN KOTA MASAI,","PASIR GUDANG,",81700 JOHOR D.T.
3000/031,CALL ME TELESHOP,07-8676366,012-7550088,,"NO.7,JALAN BELADU 17,","TAMAN PUTERI WANGSA,","81800 ULU TIRAM,",JOHOR.
3000/032,AZ MOBILE(001),,017-7829603,,"G39,JALAN BAYU PUTERI 1/3,","TAMAN BAYU PUTERI,",PERMAS.,
3000/033,AVENUE COMMUNICATION,,,07-3533911,"NO.7,JALAN ROS MERAH 2/20,","TAMAN JOHOR JAYA,","81100 JOHOR BAHRU,",JOHOR.
3000/034,SPEED STAR,,016-7652022,,"S88&89 BESTARI BESTMART,","JALAN DANGA,TAMAN NUSA BESTARI 2,","81300 SKUDAI,",JOHOR.
3000/035,TOP ONE COMMUNICATION,07-5206117,,,"NO.44,JALAN MERANTI 2,","TAMAN SRI PULAI,",81110 JOHOR.,
3000/036,CONTACT,07-3582828,,,"NO.58, JALAN DEDAP 13,","TAMAN JOHOR JAYA,","81100 JOHOR BAHRU,",JOHOR.
3000/037,SIN TAT TELECOMMUNICATION,,016-7173216,,"NO.27, JALAN TEMBIKAI 9,","TAMAN KOTA MASAI,","81700 PASIR GUDANG,JOHOR.",
3000/038,COLE TELECOMMUNICATION,,016-7045774,,"NO.4, JALAN TEMBIKAI 8,","TAMAN KOTA MASAI,","81700 PASIR GUDANG,",JOHOR.
3000/039,KEONG TELECOMMUNICATION,,016-7683922,,"NO.25,JALAN RUMNIA 84,","TAMAN DAYA,","81100 JOHOR BAHRU,",JOHOR.
3000/040,BEST T&B TELECOMMUNICATION,,014-6186868,,"NO.53,JALAN PENDEKAR 2,","TAMAN TUN AMINAH,","81300 SKUDAI,",JOHOR BAHRU.
3000/041,X COMMUNICATION,,07-8674070,,"NO.6,JALAN BELADAU 29,","TAMAN PUTERI WANGSA,","81800 ULU TIRAM,",JOHOR.
3000/042,HENG PHONE MOBILE,,016-7508158,,"35,JALAN PERMAS 10/5,","BANDAR BARU PERMAS JAYA,","81750 MASAI,",JOHOR.
3000/043,SHING HUAN TRADING,,07-2167871,,"8,SUTERA WALK,PLAZA SENTOSA,","JLN SUTERA,","TMN SENTOSA,80150 JB,",JOHOR.
3000/044,NY TELECOMMUNICATION,07-2521575,,07-2528575,"NO.10, JALAN MAWAR 46,","TAMAN MAWAR,","81700 PASIR GUDANG,",JOHOR.
3000/045,CEL STAR MOBILE,,,,"LG 43,LOWER GROUND FLOOR,TODAY'S MALL,","JALAN KOTA TINGGI,","BT 13 5/4 81800 ULU TIRAM,",JOHOR.
3000/046,CLO TELESHOP,,016-7735454,07-2244886,"K2-105,KOMPLEK PERDAGANGAN STULANG LAUT,","JALAN SULTAN IBRAHIM,","80300 JOHOR BAHRU,",JOHOR.
3000/047,CS LINK 02,07-2521229,,,"NO.3,JALAN BACANG 36,","TAMAN KOTA MASAI,","81700 PASIR GUDANG,",JOHOR.
3000/048,EXTRAL MOBILE STATION,,014-9169912,,"NO.3,JALAN GAYA 25,","TAMAN GAYA,",81800 JOHOR BAHRU.,
3000/049,R&B COM,,016-7513388,,"33,KEBUDAYAAN 4,","TAMAN UNIVERSITI,","81300 SKUDAI,",JOHOR.
3000/050,TW TELESHOP ENTERPRIS,,,,"NO.15,JALAN SETIA 12/3,","TAMAN SETIA INDAH,","81100 JOHOR BAHRU,",JOHOR.
3000/051,BHL MOBILE TELESHOP,,,,"BLOK B2-44,","PERNIAGAAN BARU,","TAMAN DAHLIA,",81200 JOHOR BAHRU.
3000/052,FOREVER GROW TRADING & AGENCIES,07-3550340,012-7171331,07-3550340,"NO.29,JALAN DEDAP 13,","TAMAN JOHOR JAYA,","81100 JOHOR BAHRU,",JOHOR D.T.
3000/053,SVP TRADING,,012-7070121,,"NO.44,JALAN TEMBIKAI 10,","TAMAN KOTA MASAI,","81700 PASIR GUDANG,","JOHOR, MALAYSIA."
3000/054,TEN Q MOBILE SHOP,,,,"NO35,JALAN BAYU PUTERI 1/3,","TAMAN BAYU PUTERI,","80400 JOHOR BAHRU,",JOHOR.
3000/055,TN COMMUNICATION,,016-7562088,,"NO.7,JALAN 1,",TMN. PERUMAHAN RAKYAT LIMA KEDAI,"81120 GELANG PATAH,",JOHOR.
3000/056,IDEAL,,07-2518228,,"38,JALAN BESAR,","81750 MASAI,",JOHOR.,
3000/057,BROSS TELECOMMUNICATION,,016-7735901,,"NO.16,JLN KENANGA 4,","TAMAN DESA CEMERALANG,","89800 ULU TIRAM,",JOHOR.
